Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species
35a30c8cd3b5887bbf072033fa1572fd,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,unassigned
3bb0bf5132b0f988573de9bd6059b22c,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unassigned,unassigned
4c3c91a07e2685ea9eef6c712380549c,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,uncultured_bacterium
609ffb89274e945bb499401542d0ca67,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,unassigned
3e1c858f9b1033a63f90a46faefcf230,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,unassigned,unassigned
e809623eb115102215dcc8fc7a275221,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,uncultured_bacterium
0fdc35769b2ba30b50ad58aece701229,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter_cosmopolitanus
f698bc60e827ed25fbba1b6bc4745a33,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Nannochloropsis_gaditana
3b50e9874fa67e04b49f5a59ecf0059a,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter,unassigned
eb2db41ef7059641b295e138bffa9aef,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Nodosilineaceae,Nodosilinea_PCC-7104,unassigned
15d33303de8a2df0d68b1f0c198e38e4,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,uncultured_bacterium
d65c255448756ecb09b4697d86fdd020,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
