Initials_SampleNumber,Tank,Date,Fish,Nutrients,Plastic,Trt_code
JRD_CED1,1,8/27/24,Fish Present,Increased Nutrients,No Plastic,A
JRD_CED10,10,8/27/24,Fish Absent,Increased Nutrients,Elastollan,I
JRD_CED100,28,6/11/24,Fish Present,Increased Nutrients,Elastollan,B
JRD_CED101,29,6/11/24,Fish Present,Ambient Nutrients,No Plastic,D
JRD_CED102,30,6/11/24,Fish Present,Increased Nutrients,No Plastic,A
JRD_CED103,31,6/11/24,Fish Absent,Increased Nutrients,No Plastic,G
JRD_CED104,32,6/11/24,Fish Absent,Increased Nutrients,Elastollan,I
JRD_CED105,33,6/11/24,Fish Present,Ambient Nutrients,Elastollan,E
JRD_CED106,34,6/11/24,Fish Absent,Increased Nutrients,TPU181,J
JRD_CED107,35,6/11/24,Fish Absent,Increased Nutrients,No Plastic,G
JRD_CED108,36,6/11/24,Fish Present,Increased Nutrients,TPU181,C
JRD_CED109,1,6/25/24,Fish Present,Increased Nutrients,No Plastic,A
JRD_CED11,11,8/27/24,Fish Present,Ambient Nutrients,Elastollan,E
JRD_CED110,2,6/25/24,Fish Present,Ambient Nutrients,TPU181,F
JRD_CED111,3,6/25/24,Fish Absent,Ambient Nutrients,No Plastic,K
JRD_CED112,4,6/25/24,Fish Absent,Increased Nutrients,TPU181,J
JRD_CED113,5,6/25/24,Fish Present,Increased Nutrients,TPU181,C
JRD_CED114,6,6/25/24,Fish Absent,Ambient Nutrients,TPU181,M
JRD_CED115,7,6/25/24,Fish Absent,Increased Nutrients,No Plastic,G
JRD_CED116,8,6/25/24,Fish Absent,Ambient Nutrients,Elastollan,L
JRD_CED117,9,6/25/24,Fish Absent,Ambient Nutrients,TPU181,M
JRD_CED118,10,6/25/24,Fish Absent,Increased Nutrients,Elastollan,I
JRD_CED119,11,6/25/24,Fish Present,Ambient Nutrients,Elastollan,E
JRD_CED12,12,8/27/24,Fish Present,Increased Nutrients,TPU181,C
JRD_CED120,12,6/25/24,Fish Present,Increased Nutrients,TPU181,C
JRD_CED121,13,6/25/24,Fish Present,Increased Nutrients,Elastollan,B
JRD_CED122,14,6/25/24,Fish Present,Increased Nutrients,No Plastic,A
JRD_CED123,15,6/25/24,Fish Present,Ambient Nutrients,TPU181,F
JRD_CED124,16,6/25/24,Fish Present,Increased Nutrients,Elastollan,B
JRD_CED125,17,6/25/24,Fish Absent,Ambient Nutrients,TPU181,M
JRD_CED126,18,6/25/24,Fish Absent,Ambient Nutrients,Elastollan,L
JRD_CED127,19,6/25/24,Fish Absent,Increased Nutrients,Elastollan,I
JRD_CED128,30,7/17/24,Fish Present,Increased Nutrients,No Plastic,A
JRD_CED129,31,7/17/24,Fish Absent,Increased Nutrients,No Plastic,G
JRD_CED13,13,8/27/24,Fish Present,Increased Nutrients,Elastollan,B
JRD_CED130,32,7/17/24,Fish Absent,Increased Nutrients,Elastollan,I
JRD_CED131,33,7/17/24,Fish Present,Ambient Nutrients,Elastollan,E
JRD_CED133,35,7/17/24,Fish Absent,Increased Nutrients,No Plastic,G
JRD_CED134,36,7/17/24,Fish Present,Increased Nutrients,TPU181,C
JRD_CED135,1,8/6/24,Fish Present,Increased Nutrients,No Plastic,A
JRD_CED136,2,8/6/24,Fish Present,Ambient Nutrients,TPU181,F
JRD_CED137,3,8/6/24,Fish Absent,Ambient Nutrients,No Plastic,K
JRD_CED138,4,8/6/24,Fish Absent,Increased Nutrients,TPU181,J
